realtime_start,realtime_end,date,value
2025-09-13,2025-09-13,2019-04-01,122.49424
2025-09-13,2025-09-13,2019-07-01,120.98675
2025-09-13,2025-09-13,2019-10-01,122.85714
2025-09-13,2025-09-13,2020-01-01,91.25138
2025-09-13,2025-09-13,2020-04-01,90.47619
2025-09-13,2025-09-13,2020-07-01,97.1343
2025-09-13,2025-09-13,2020-10-01,98.18913
2025-09-13,2025-09-13,2021-01-01,114.57143
2025-09-13,2025-09-13,2021-04-01,114.7651
2025-09-13,2025-09-13,2021-07-01,99.78437
2025-09-13,2025-09-13,2021-10-01,100.69444
2025-09-13,2025-09-13,2022-01-01,97.33124
2025-09-13,2025-09-13,2022-04-01,83.87097
2025-09-13,2025-09-13,2022-07-01,90.93817
2025-09-13,2025-09-13,2022-10-01,84.5973
2025-09-13,2025-09-13,2023-01-01,82.68398
2025-09-13,2025-09-13,2023-04-01,72.84427
2025-09-13,2025-09-13,2023-07-01,85.55102
2025-09-13,2025-09-13,2023-10-01,92.01229
2025-09-13,2025-09-13,2024-01-01,97.83722
2025-09-13,2025-09-13,2024-04-01,98.56665
2025-09-13,2025-09-13,2024-07-01,110.11132
2025-09-13,2025-09-13,2024-10-01,126.5873
2025-09-13,2025-09-13,2025-01-01,128.7234
2025-09-13,2025-09-13,2025-04-01,126.34286
