realtime_start,realtime_end,date,value
2025-09-13,2025-09-13,1995-08-01,414.8
2025-09-13,2025-09-13,1995-09-01,414.2
2025-09-13,2025-09-13,1995-10-01,448.1
2025-09-13,2025-09-13,1995-11-01,435.8
2025-09-13,2025-09-13,1995-12-01,459.5
2025-09-13,2025-09-13,1996-01-01,400.0
2025-09-13,2025-09-13,1996-02-01,400.7
2025-09-13,2025-09-13,1996-03-01,436.0
2025-09-13,2025-09-13,1996-04-01,441.1
2025-09-13,2025-09-13,1996-05-01,414.9
2025-09-13,2025-09-13,1996-06-01,408.2
2025-09-13,2025-09-13,1996-07-01,383.7
2025-09-13,2025-09-13,1996-08-01,493.3
2025-09-13,2025-09-13,1996-09-01,438.6
2025-09-13,2025-09-13,1996-10-01,404.3
2025-09-13,2025-09-13,1996-11-01,483.7
2025-09-13,2025-09-13,1996-12-01,429.4
2025-09-13,2025-09-13,1997-01-01,398.8
2025-09-13,2025-09-13,1997-02-01,396.0
2025-09-13,2025-09-13,1997-03-01,514.3
2025-09-13,2025-09-13,1997-04-01,445.5
2025-09-13,2025-09-13,1997-05-01,427.5
2025-09-13,2025-09-13,1997-06-01,451.3
2025-09-13,2025-09-13,1997-07-01,476.0
2025-09-13,2025-09-13,1997-08-01,523.8
2025-09-13,2025-09-13,1997-09-01,518.0
2025-09-13,2025-09-13,1997-10-01,532.1
2025-09-13,2025-09-13,1997-11-01,442.3
2025-09-13,2025-09-13,1997-12-01,474.9
2025-09-13,2025-09-13,1998-01-01,417.8
2025-09-13,2025-09-13,1998-02-01,449.7
2025-09-13,2025-09-13,1998-03-01,446.6
2025-09-13,2025-09-13,1998-04-01,424.2
2025-09-13,2025-09-13,1998-05-01,535.1
2025-09-13,2025-09-13,1998-06-01,497.6
2025-09-13,2025-09-13,1998-07-01,494.7
2025-09-13,2025-09-13,1998-08-01,495.2
2025-09-13,2025-09-13,1998-09-01,532.7
2025-09-13,2025-09-13,1998-10-01,706.4
2025-09-13,2025-09-13,1998-11-01,507.1
2025-09-13,2025-09-13,1998-12-01,766.6
2025-09-13,2025-09-13,1999-01-01,579.7
2025-09-13,2025-09-13,1999-02-01,680.9
2025-09-13,2025-09-13,1999-03-01,639.4
2025-09-13,2025-09-13,1999-04-01,702.1
2025-09-13,2025-09-13,1999-05-01,705.5
2025-09-13,2025-09-13,1999-06-01,665.9
2025-09-13,2025-09-13,1999-07-01,696.0
2025-09-13,2025-09-13,1999-08-01,853.4
2025-09-13,2025-09-13,1999-09-01,742.7
2025-09-13,2025-09-13,1999-10-01,712.9
2025-09-13,2025-09-13,1999-11-01,616.7
2025-09-13,2025-09-13,1999-12-01,705.9
2025-09-13,2025-09-13,2000-01-01,634.6
2025-09-13,2025-09-13,2000-02-01,689.5
2025-09-13,2025-09-13,2000-03-01,864.2
2025-09-13,2025-09-13,2000-04-01,784.0
2025-09-13,2025-09-13,2000-05-01,760.5
2025-09-13,2025-09-13,2000-06-01,903.5
2025-09-13,2025-09-13,2000-07-01,773.1
2025-09-13,2025-09-13,2000-08-01,866.9
2025-09-13,2025-09-13,2000-09-01,846.5
2025-09-13,2025-09-13,2000-10-01,893.5
2025-09-13,2025-09-13,2000-11-01,875.2
2025-09-13,2025-09-13,2000-12-01,843.9
2025-09-13,2025-09-13,2001-01-01,686.2
2025-09-13,2025-09-13,2001-02-01,852.8
2025-09-13,2025-09-13,2001-03-01,813.6
2025-09-13,2025-09-13,2001-04-01,905.0
2025-09-13,2025-09-13,2001-05-01,1073.4
2025-09-13,2025-09-13,2001-06-01,957.9
2025-09-13,2025-09-13,2001-07-01,799.8
2025-09-13,2025-09-13,2001-08-01,765.8
2025-09-13,2025-09-13,2001-09-01,892.4
2025-09-13,2025-09-13,2001-10-01,915.3
2025-09-13,2025-09-13,2001-11-01,1044.9
2025-09-13,2025-09-13,2001-12-01,866.2
2025-09-13,2025-09-13,2002-01-01,694.5
2025-09-13,2025-09-13,2002-02-01,802.9
2025-09-13,2025-09-13,2002-03-01,786.0
2025-09-13,2025-09-13,2002-04-01,695.0
2025-09-13,2025-09-13,2002-05-01,833.1
2025-09-13,2025-09-13,2002-06-01,800.2
2025-09-13,2025-09-13,2002-07-01,851.6
2025-09-13,2025-09-13,2002-08-01,813.1
2025-09-13,2025-09-13,2002-09-01,791.3
2025-09-13,2025-09-13,2002-10-01,955.9
2025-09-13,2025-09-13,2002-11-01,870.0
2025-09-13,2025-09-13,2002-12-01,838.6
2025-09-13,2025-09-13,2003-01-01,859.6
2025-09-13,2025-09-13,2003-02-01,842.6
2025-09-13,2025-09-13,2003-03-01,961.1
2025-09-13,2025-09-13,2003-04-01,875.3
2025-09-13,2025-09-13,2003-05-01,1078.1
2025-09-13,2025-09-13,2003-06-01,1167.7
2025-09-13,2025-09-13,2003-07-01,1009.0
2025-09-13,2025-09-13,2003-08-01,936.2
2025-09-13,2025-09-13,2003-09-01,962.0
2025-09-13,2025-09-13,2003-10-01,1098.4
2025-09-13,2025-09-13,2003-11-01,967.2
2025-09-13,2025-09-13,2003-12-01,1157.0
2025-09-13,2025-09-13,2004-01-01,1003.8
2025-09-13,2025-09-13,2004-02-01,881.6
2025-09-13,2025-09-13,2004-03-01,1290.0
2025-09-13,2025-09-13,2004-04-01,1075.9
2025-09-13,2025-09-13,2004-05-01,1042.2
2025-09-13,2025-09-13,2004-06-01,1135.9
2025-09-13,2025-09-13,2004-07-01,1059.9
2025-09-13,2025-09-13,2004-08-01,1030.3
2025-09-13,2025-09-13,2004-09-01,1042.0
2025-09-13,2025-09-13,2004-10-01,1235.7
2025-09-13,2025-09-13,2004-11-01,1137.4
2025-09-13,2025-09-13,2004-12-01,1221.1
2025-09-13,2025-09-13,2005-01-01,1073.8
2025-09-13,2025-09-13,2005-02-01,981.1
2025-09-13,2025-09-13,2005-03-01,1192.8
2025-09-13,2025-09-13,2005-04-01,1150.2
2025-09-13,2025-09-13,2005-05-01,1118.1
2025-09-13,2025-09-13,2005-06-01,1160.5
2025-09-13,2025-09-13,2005-07-01,985.5
2025-09-13,2025-09-13,2005-08-01,990.4
2025-09-13,2025-09-13,2005-09-01,1144.0
2025-09-13,2025-09-13,2005-10-01,1215.0
2025-09-13,2025-09-13,2005-11-01,1064.4
2025-09-13,2025-09-13,2005-12-01,1188.3
2025-09-13,2025-09-13,2006-01-01,1044.5
2025-09-13,2025-09-13,2006-02-01,1095.4
2025-09-13,2025-09-13,2006-03-01,1252.6
2025-09-13,2025-09-13,2006-04-01,1131.8
2025-09-13,2025-09-13,2006-05-01,1281.1
2025-09-13,2025-09-13,2006-06-01,1327.4
2025-09-13,2025-09-13,2006-07-01,1316.9
2025-09-13,2025-09-13,2006-08-01,1325.9
2025-09-13,2025-09-13,2006-09-01,1128.5
2025-09-13,2025-09-13,2006-10-01,1306.4
2025-09-13,2025-09-13,2006-11-01,1470.2
2025-09-13,2025-09-13,2006-12-01,1514.7
2025-09-13,2025-09-13,2007-01-01,1339.5
2025-09-13,2025-09-13,2007-02-01,1319.8
2025-09-13,2025-09-13,2007-03-01,1668.4
2025-09-13,2025-09-13,2007-04-01,1281.7
2025-09-13,2025-09-13,2007-05-01,1400.9
2025-09-13,2025-09-13,2007-06-01,1682.3
2025-09-13,2025-09-13,2007-07-01,1454.8
2025-09-13,2025-09-13,2007-08-01,1595.7
2025-09-13,2025-09-13,2007-09-01,1701.5
2025-09-13,2025-09-13,2007-10-01,1524.3
2025-09-13,2025-09-13,2007-11-01,1624.9
2025-09-13,2025-09-13,2007-12-01,1469.1
2025-09-13,2025-09-13,2008-01-01,1345.2
2025-09-13,2025-09-13,2008-02-01,1747.9
2025-09-13,2025-09-13,2008-03-01,1764.3
2025-09-13,2025-09-13,2008-04-01,1706.8
2025-09-13,2025-09-13,2008-05-01,1854.9
2025-09-13,2025-09-13,2008-06-01,1938.2
2025-09-13,2025-09-13,2008-07-01,1755.4
2025-09-13,2025-09-13,2008-08-01,1672.1
2025-09-13,2025-09-13,2008-09-01,1572.5
2025-09-13,2025-09-13,2008-10-01,1703.7
2025-09-13,2025-09-13,2008-11-01,1479.5
2025-09-13,2025-09-13,2008-12-01,1423.2
2025-09-13,2025-09-13,2009-01-01,1579.8
2025-09-13,2025-09-13,2009-02-01,1688.3
2025-09-13,2025-09-13,2009-03-01,1717.0
2025-09-13,2025-09-13,2009-04-01,1571.5
2025-09-13,2025-09-13,2009-05-01,1712.1
2025-09-13,2025-09-13,2009-06-01,1689.3
2025-09-13,2025-09-13,2009-07-01,1720.4
2025-09-13,2025-09-13,2009-08-01,1785.9
2025-09-13,2025-09-13,2009-09-01,1827.6
2025-09-13,2025-09-13,2009-10-01,2472.0
2025-09-13,2025-09-13,2009-11-01,1514.5
2025-09-13,2025-09-13,2009-12-01,1659.7
2025-09-13,2025-09-13,2010-01-01,2079.9
2025-09-13,2025-09-13,2010-02-01,1409.8
2025-09-13,2025-09-13,2010-03-01,1930.3
2025-09-13,2025-09-13,2010-04-01,1714.1
2025-09-13,2025-09-13,2010-05-01,1427.3
2025-09-13,2025-09-13,2010-06-01,1895.9
2025-09-13,2025-09-13,2010-07-01,1908.5
2025-09-13,2025-09-13,2010-08-01,1591.5
2025-09-13,2025-09-13,2010-09-01,1678.3
2025-09-13,2025-09-13,2010-10-01,2093.9
2025-09-13,2025-09-13,2010-11-01,2450.1
2025-09-13,2025-09-13,2010-12-01,2624.8
2025-09-13,2025-09-13,2011-01-01,1251.8
2025-09-13,2025-09-13,2011-02-01,1258.9
2025-09-13,2025-09-13,2011-03-01,1591.6
2025-09-13,2025-09-13,2011-04-01,1406.5
2025-09-13,2025-09-13,2011-05-01,1494.1
2025-09-13,2025-09-13,2011-06-01,1671.0
2025-09-13,2025-09-13,2011-07-01,1387.4
2025-09-13,2025-09-13,2011-08-01,1426.4
2025-09-13,2025-09-13,2011-09-01,1876.4
2025-09-13,2025-09-13,2011-10-01,1767.2
2025-09-13,2025-09-13,2011-11-01,2076.2
2025-09-13,2025-09-13,2011-12-01,1445.3
2025-09-13,2025-09-13,2012-01-01,1164.4
2025-09-13,2025-09-13,2012-02-01,1326.2
2025-09-13,2025-09-13,2012-03-01,1493.4
2025-09-13,2025-09-13,2012-04-01,1321.6
2025-09-13,2025-09-13,2012-05-01,1610.8
2025-09-13,2025-09-13,2012-06-01,2021.6
2025-09-13,2025-09-13,2012-07-01,1852.6
2025-09-13,2025-09-13,2012-08-01,1652.9
2025-09-13,2025-09-13,2012-09-01,1348.0
2025-09-13,2025-09-13,2012-10-01,1802.7
2025-09-13,2025-09-13,2012-11-01,1780.1
2025-09-13,2025-09-13,2012-12-01,1288.8
