realtime_start,realtime_end,date,value
2025-09-10,2025-09-10,1947-12-01,.
2025-09-10,2025-09-10,1948-08-01,.
2025-09-10,2025-09-10,1950-09-22,.
2025-09-10,2025-09-10,1951-01-08,.
2025-09-10,2025-09-10,1951-10-17,.
2025-09-10,2025-09-10,1951-12-19,.
2025-09-10,2025-09-10,1953-04-27,.
2025-09-10,2025-09-10,1954-03-17,.
2025-09-10,2025-09-10,1955-08-04,3.25
2025-09-10,2025-09-10,1955-10-14,3.5
2025-09-10,2025-09-10,1956-04-13,3.75
2025-09-10,2025-09-10,1956-08-21,4
2025-09-10,2025-09-10,1957-08-06,4.5
2025-09-10,2025-09-10,1958-01-22,4
2025-09-10,2025-09-10,1958-04-21,3.5
2025-09-10,2025-09-10,1958-09-11,4
2025-09-10,2025-09-10,1959-05-18,4.5
2025-09-10,2025-09-10,1959-09-01,5
2025-09-10,2025-09-10,1960-08-23,4.5
2025-09-10,2025-09-10,1965-12-06,5
2025-09-10,2025-09-10,1966-03-10,5.5
2025-09-10,2025-09-10,1966-06-29,5.75
2025-09-10,2025-09-10,1966-08-16,6
2025-09-10,2025-09-10,1967-01-26,5.75
2025-09-10,2025-09-10,1967-03-27,5.5
2025-09-10,2025-09-10,1967-11-20,6
2025-09-10,2025-09-10,1968-04-19,6.5
2025-09-10,2025-09-10,1968-09-25,6.25
2025-09-10,2025-09-10,1968-12-02,6.5
2025-09-10,2025-09-10,1968-12-18,6.75
2025-09-10,2025-09-10,1969-01-07,7
2025-09-10,2025-09-10,1969-03-17,7.5
2025-09-10,2025-09-10,1969-06-09,8.5
2025-09-10,2025-09-10,1970-03-25,8
2025-09-10,2025-09-10,1970-09-21,7.5
2025-09-10,2025-09-10,1970-11-12,7.25
2025-09-10,2025-09-10,1970-11-23,7
2025-09-10,2025-09-10,1970-12-22,6.75
2025-09-10,2025-09-10,1971-01-06,6.5
2025-09-10,2025-09-10,1971-01-15,6.25
2025-09-10,2025-09-10,1971-01-18,6
2025-09-10,2025-09-10,1971-02-16,5.75
2025-09-10,2025-09-10,1971-03-11,5.5
2025-09-10,2025-09-10,1971-03-19,5.25
2025-09-10,2025-09-10,1971-04-23,5.5
2025-09-10,2025-09-10,1971-07-07,6
2025-09-10,2025-09-10,1971-10-20,5.75
2025-09-10,2025-09-10,1971-11-08,5.5
2025-09-10,2025-09-10,1971-12-17,5.25
2025-09-10,2025-09-10,1972-01-03,5
2025-09-10,2025-09-10,1972-01-18,4.75
2025-09-10,2025-09-10,1972-02-16,4.5
2025-09-10,2025-09-10,1972-03-20,4.75
2025-09-10,2025-09-10,1972-03-31,5
2025-09-10,2025-09-10,1972-06-27,5.25
2025-09-10,2025-09-10,1972-08-29,5.5
2025-09-10,2025-09-10,1972-10-03,5.75
2025-09-10,2025-09-10,1972-12-27,6
2025-09-10,2025-09-10,1973-02-27,6.25
2025-09-10,2025-09-10,1973-03-26,6.5
2025-09-10,2025-09-10,1973-04-19,6.75
2025-09-10,2025-09-10,1973-05-07,7
2025-09-10,2025-09-10,1973-05-25,7.25
2025-09-10,2025-09-10,1973-06-07,7.5
2025-09-10,2025-09-10,1973-06-22,7.75
2025-09-10,2025-09-10,1973-07-02,8
2025-09-10,2025-09-10,1973-07-09,8.25
2025-09-10,2025-09-10,1973-07-18,8.5
2025-09-10,2025-09-10,1973-07-30,8.75
2025-09-10,2025-09-10,1973-08-06,9
2025-09-10,2025-09-10,1973-08-13,9.25
2025-09-10,2025-09-10,1973-08-21,9.5
2025-09-10,2025-09-10,1973-08-28,9.75
2025-09-10,2025-09-10,1973-09-18,10
2025-09-10,2025-09-10,1973-10-23,9.75
2025-09-10,2025-09-10,1973-10-29,9.5
2025-09-10,2025-09-10,1973-12-03,9.75
2025-09-10,2025-09-10,1974-01-29,9.5
2025-09-10,2025-09-10,1974-02-11,9.25
2025-09-10,2025-09-10,1974-02-19,9
2025-09-10,2025-09-10,1974-02-25,8.75
2025-09-10,2025-09-10,1974-03-22,9
2025-09-10,2025-09-10,1974-04-01,9.25
2025-09-10,2025-09-10,1974-04-04,9.5
2025-09-10,2025-09-10,1974-04-08,9.75
2025-09-10,2025-09-10,1974-04-11,10
2025-09-10,2025-09-10,1974-04-22,10.25
2025-09-10,2025-09-10,1974-04-25,10.5
2025-09-10,2025-09-10,1974-05-02,10.75
2025-09-10,2025-09-10,1974-05-07,11
2025-09-10,2025-09-10,1974-05-10,11.25
2025-09-10,2025-09-10,1974-05-17,11.5
2025-09-10,2025-09-10,1974-06-27,11.75
2025-09-10,2025-09-10,1974-07-08,12
2025-09-10,2025-09-10,1974-10-08,11.75
2025-09-10,2025-09-10,1974-10-22,11.25
2025-09-10,2025-09-10,1974-11-06,11
2025-09-10,2025-09-10,1974-11-13,10.75
2025-09-10,2025-09-10,1974-11-25,10.25
2025-09-10,2025-09-10,1975-01-13,10
2025-09-10,2025-09-10,1975-01-28,9.5
2025-09-10,2025-09-10,1975-02-03,9
2025-09-10,2025-09-10,1975-02-18,8.75
2025-09-10,2025-09-10,1975-02-24,8.5
2025-09-10,2025-09-10,1975-03-03,8.25
2025-09-10,2025-09-10,1975-03-10,8
2025-09-10,2025-09-10,1975-03-19,7.75
2025-09-10,2025-09-10,1975-03-25,7.5
2025-09-10,2025-09-10,1975-05-20,7.25
2025-09-10,2025-09-10,1975-06-09,7
2025-09-10,2025-09-10,1975-07-18,7.25
2025-09-10,2025-09-10,1975-07-25,7.5
2025-09-10,2025-09-10,1975-08-11,7.75
2025-09-10,2025-09-10,1975-09-15,8
2025-09-10,2025-09-10,1975-10-27,7.75
2025-09-10,2025-09-10,1975-11-04,7.5
2025-09-10,2025-09-10,1975-12-01,7.25
2025-09-10,2025-09-10,1976-01-12,7
2025-09-10,2025-09-10,1976-01-21,6.75
2025-09-10,2025-09-10,1976-06-01,7
2025-09-10,2025-09-10,1976-06-04,7.25
2025-09-10,2025-09-10,1976-08-02,7
2025-09-10,2025-09-10,1976-10-01,6.75
2025-09-10,2025-09-10,1976-10-29,6.5
2025-09-10,2025-09-10,1976-12-10,6.25
2025-09-10,2025-09-10,1977-05-13,6.5
2025-09-10,2025-09-10,1977-05-27,6.75
2025-09-10,2025-09-10,1977-08-22,7
2025-09-10,2025-09-10,1977-09-16,7.25
2025-09-10,2025-09-10,1977-10-07,7.5
2025-09-10,2025-09-10,1977-10-24,7.75
2025-09-10,2025-09-10,1978-01-10,8
2025-09-10,2025-09-10,1978-05-05,8.25
2025-09-10,2025-09-10,1978-05-26,8.5
2025-09-10,2025-09-10,1978-06-16,8.75
2025-09-10,2025-09-10,1978-06-30,9
2025-09-10,2025-09-10,1978-09-01,9.25
2025-09-10,2025-09-10,1978-09-15,9.5
2025-09-10,2025-09-10,1978-09-28,9.75
2025-09-10,2025-09-10,1978-10-13,10
2025-09-10,2025-09-10,1978-10-27,10.25
2025-09-10,2025-09-10,1978-11-01,10.5
2025-09-10,2025-09-10,1978-11-06,10.75
2025-09-10,2025-09-10,1978-11-17,11
2025-09-10,2025-09-10,1978-11-24,11.5
2025-09-10,2025-09-10,1978-12-26,11.75
2025-09-10,2025-09-10,1979-06-19,11.5
2025-09-10,2025-09-10,1979-07-27,11.75
2025-09-10,2025-09-10,1979-08-16,12
2025-09-10,2025-09-10,1979-08-28,12.25
