realtime_start,realtime_end,date,value
2025-09-13,2025-09-13,2002-12-18,23000
2025-09-13,2025-09-13,2002-12-25,21250
2025-09-13,2025-09-13,2003-01-01,25500
2025-09-13,2025-09-13,2003-01-08,30750
2025-09-13,2025-09-13,2003-01-15,27000
2025-09-13,2025-09-13,2003-01-22,32750
2025-09-13,2025-09-13,2003-01-29,16500
2025-09-13,2025-09-13,2003-02-05,24750
2025-09-13,2025-09-13,2003-02-12,15746
2025-09-13,2025-09-13,2003-02-19,30496
2025-09-13,2025-09-13,2003-02-26,20750
2025-09-13,2025-09-13,2003-03-05,20250
2025-09-13,2025-09-13,2003-03-12,14750
2025-09-13,2025-09-13,2003-03-19,23000
2025-09-13,2025-09-13,2003-03-26,20500
2025-09-13,2025-09-13,2003-04-02,25500
2025-09-13,2025-09-13,2003-04-09,17250
2025-09-13,2025-09-13,2003-04-16,34000
2025-09-13,2025-09-13,2003-04-23,20500
2025-09-13,2025-09-13,2003-04-30,33500
2025-09-13,2025-09-13,2003-05-07,18251
2025-09-13,2025-09-13,2003-05-14,25752
2025-09-13,2025-09-13,2003-05-21,20251
2025-09-13,2025-09-13,2003-05-28,29000
2025-09-13,2025-09-13,2003-06-04,14000
2025-09-13,2025-09-13,2003-06-11,27500
2025-09-13,2025-09-13,2003-06-18,17000
2025-09-13,2025-09-13,2003-06-25,29000
2025-09-13,2025-09-13,2003-07-02,21000
2025-09-13,2025-09-13,2003-07-09,24250
2025-09-13,2025-09-13,2003-07-16,19000
2025-09-13,2025-09-13,2003-07-23,29000
2025-09-13,2025-09-13,2003-07-30,24250
2025-09-13,2025-09-13,2003-08-06,15250
2025-09-13,2025-09-13,2003-08-13,14000
2025-09-13,2025-09-13,2003-08-20,32500
2025-09-13,2025-09-13,2003-08-27,24000
2025-09-13,2025-09-13,2003-09-03,29250
2025-09-13,2025-09-13,2003-09-10,18500
2025-09-13,2025-09-13,2003-09-17,24250
2025-09-13,2025-09-13,2003-09-24,26000
2025-09-13,2025-09-13,2003-10-01,36750
2025-09-13,2025-09-13,2003-10-08,19750
2025-09-13,2025-09-13,2003-10-15,30250
2025-09-13,2025-09-13,2003-10-22,25500
2025-09-13,2025-09-13,2003-10-29,28000
2025-09-13,2025-09-13,2003-11-05,19000
2025-09-13,2025-09-13,2003-11-12,24000
2025-09-13,2025-09-13,2003-11-19,18000
2025-09-13,2025-09-13,2003-11-26,29500
2025-09-13,2025-09-13,2003-12-03,19500
2025-09-13,2025-09-13,2003-12-10,25250
2025-09-13,2025-09-13,2003-12-17,17000
2025-09-13,2025-09-13,2003-12-24,36500
2025-09-13,2025-09-13,2003-12-31,43750
2025-09-13,2025-09-13,2004-01-07,24000
2025-09-13,2025-09-13,2004-01-14,24000
2025-09-13,2025-09-13,2004-01-21,42000
2025-09-13,2025-09-13,2004-01-28,23000
2025-09-13,2025-09-13,2004-02-04,23250
2025-09-13,2025-09-13,2004-02-11,18750
2025-09-13,2025-09-13,2004-02-18,23500
2025-09-13,2025-09-13,2004-02-25,20000
2025-09-13,2025-09-13,2004-03-03,23750
2025-09-13,2025-09-13,2004-03-10,18750
2025-09-13,2025-09-13,2004-03-17,28750
2025-09-13,2025-09-13,2004-03-24,19750
2025-09-13,2025-09-13,2004-03-31,27500
2025-09-13,2025-09-13,2004-04-07,19750
2025-09-13,2025-09-13,2004-04-14,29700
2025-09-13,2025-09-13,2004-04-21,22750
2025-09-13,2025-09-13,2004-04-28,37500
2025-09-13,2025-09-13,2004-05-05,20000
2025-09-13,2025-09-13,2004-05-12,27250
2025-09-13,2025-09-13,2004-05-19,21250
2025-09-13,2025-09-13,2004-05-26,33750
2025-09-13,2025-09-13,2004-06-02,22500
2025-09-13,2025-09-13,2004-06-09,30250
2025-09-13,2025-09-13,2004-06-16,19000
2025-09-13,2025-09-13,2004-06-23,32000
2025-09-13,2025-09-13,2004-06-30,33500
2025-09-13,2025-09-13,2004-07-07,28000
2025-09-13,2025-09-13,2004-07-14,25500
2025-09-13,2025-09-13,2004-07-21,25500
2025-09-13,2025-09-13,2004-07-28,21500
2025-09-13,2025-09-13,2004-08-04,17000
2025-09-13,2025-09-13,2004-08-11,16000
2025-09-13,2025-09-13,2004-08-18,16500
2025-09-13,2025-09-13,2004-08-25,24500
2025-09-13,2025-09-13,2004-09-01,32500
2025-09-13,2025-09-13,2004-09-08,33000
2025-09-13,2025-09-13,2004-09-15,35500
2025-09-13,2025-09-13,2004-09-22,26500
2025-09-13,2025-09-13,2004-09-29,29500
2025-09-13,2025-09-13,2004-10-06,21000
2025-09-13,2025-09-13,2004-10-13,30250
2025-09-13,2025-09-13,2004-10-20,21250
2025-09-13,2025-09-13,2004-10-27,23750
2025-09-13,2025-09-13,2004-11-03,20250
2025-09-13,2025-09-13,2004-11-10,29500
2025-09-13,2025-09-13,2004-11-17,24000
2025-09-13,2025-09-13,2004-11-24,35000
2025-09-13,2025-09-13,2004-12-01,29750
2025-09-13,2025-09-13,2004-12-08,26500
2025-09-13,2025-09-13,2004-12-15,24750
2025-09-13,2025-09-13,2004-12-22,32000
2025-09-13,2025-09-13,2004-12-29,33000
2025-09-13,2025-09-13,2005-01-05,34500
2025-09-13,2025-09-13,2005-01-12,18250
2025-09-13,2025-09-13,2005-01-19,22500
2025-09-13,2025-09-13,2005-01-26,28750
2025-09-13,2025-09-13,2005-02-02,24250
2025-09-13,2025-09-13,2005-02-09,14500
2025-09-13,2025-09-13,2005-02-16,18500
2025-09-13,2025-09-13,2005-02-23,25250
2025-09-13,2025-09-13,2005-03-02,24250
2025-09-13,2025-09-13,2005-03-09,22000
2025-09-13,2025-09-13,2005-03-16,30250
2025-09-13,2025-09-13,2005-03-23,19250
2025-09-13,2025-09-13,2005-03-30,31750
2025-09-13,2025-09-13,2005-04-06,20000
2025-09-13,2025-09-13,2005-04-13,28250
2025-09-13,2025-09-13,2005-04-20,23750
2025-09-13,2025-09-13,2005-04-27,30750
2025-09-13,2025-09-13,2005-05-04,21500
2025-09-13,2025-09-13,2005-05-11,26000
2025-09-13,2025-09-13,2005-05-18,23750
2025-09-13,2025-09-13,2005-05-25,31000
2025-09-13,2025-09-13,2005-06-01,31500
2025-09-13,2025-09-13,2005-06-08,30500
2025-09-13,2025-09-13,2005-06-15,29000
2025-09-13,2025-09-13,2005-06-22,26250
2025-09-13,2025-09-13,2005-06-29,26000
2025-09-13,2025-09-13,2005-07-06,34000
2025-09-13,2025-09-13,2005-07-13,25250
2025-09-13,2025-09-13,2005-07-20,33750
2025-09-13,2025-09-13,2005-07-27,31000
2025-09-13,2025-09-13,2005-08-03,32000
2025-09-13,2025-09-13,2005-08-10,24500
2025-09-13,2025-09-13,2005-08-17,28500
2025-09-13,2025-09-13,2005-08-24,26000
2025-09-13,2025-09-13,2005-08-31,35500
2025-09-13,2025-09-13,2005-09-07,31500
2025-09-13,2025-09-13,2005-09-14,32000
2025-09-13,2025-09-13,2005-09-21,20250
2025-09-13,2025-09-13,2005-09-28,30250
2025-09-13,2025-09-13,2005-10-05,18750
2025-09-13,2025-09-13,2005-10-12,20250
2025-09-13,2025-09-13,2005-10-19,16250
2025-09-13,2025-09-13,2005-10-26,21750
2025-09-13,2025-09-13,2005-11-02,14500
2025-09-13,2025-09-13,2005-11-09,24500
2025-09-13,2025-09-13,2005-11-16,20000
2025-09-13,2025-09-13,2005-11-23,32500
2025-09-13,2025-09-13,2005-11-30,35250
2025-09-13,2025-09-13,2005-12-07,32000
2025-09-13,2025-09-13,2005-12-14,23250
2025-09-13,2025-09-13,2005-12-21,45000
2025-09-13,2025-09-13,2005-12-28,45250
2025-09-13,2025-09-13,2006-01-04,46500
2025-09-13,2025-09-13,2006-01-11,25000
2025-09-13,2025-09-13,2006-01-18,23250
2025-09-13,2025-09-13,2006-01-25,25000
2025-09-13,2025-09-13,2006-02-01,23000
2025-09-13,2025-09-13,2006-02-08,19500
2025-09-13,2025-09-13,2006-02-15,29750
2025-09-13,2025-09-13,2006-02-22,29000
2025-09-13,2025-09-13,2006-03-01,27750
2025-09-13,2025-09-13,2006-03-08,26500
2025-09-13,2025-09-13,2006-03-15,29750
2025-09-13,2025-09-13,2006-03-22,25750
2025-09-13,2025-09-13,2006-03-29,19500
2025-09-13,2025-09-13,2006-04-05,19250
2025-09-13,2025-09-13,2006-04-12,18750
2025-09-13,2025-09-13,2006-04-19,21250
2025-09-13,2025-09-13,2006-04-26,26750
2025-09-13,2025-09-13,2006-05-03,25750
2025-09-13,2025-09-13,2006-05-10,20500
2025-09-13,2025-09-13,2006-05-17,21500
2025-09-13,2025-09-13,2006-05-24,22500
2025-09-13,2025-09-13,2006-05-31,30750
2025-09-13,2025-09-13,2006-06-07,26750
2025-09-13,2025-09-13,2006-06-14,24250
2025-09-13,2025-09-13,2006-06-21,22250
2025-09-13,2025-09-13,2006-06-28,22500
2025-09-13,2025-09-13,2006-07-05,28250
2025-09-13,2025-09-13,2006-07-12,20750
2025-09-13,2025-09-13,2006-07-19,29000
2025-09-13,2025-09-13,2006-07-26,21000
2025-09-13,2025-09-13,2006-08-02,27750
2025-09-13,2025-09-13,2006-08-09,17500
2025-09-13,2025-09-13,2006-08-16,25250
2025-09-13,2025-09-13,2006-08-23,19750
2025-09-13,2025-09-13,2006-08-30,30250
2025-09-13,2025-09-13,2006-09-06,19750
2025-09-13,2025-09-13,2006-09-13,16000
2025-09-13,2025-09-13,2006-09-20,15000
2025-09-13,2025-09-13,2006-09-27,27500
2025-09-13,2025-09-13,2006-10-04,18250
2025-09-13,2025-09-13,2006-10-11,28250
2025-09-13,2025-09-13,2006-10-18,22750
2025-09-13,2025-09-13,2006-10-25,30000
2025-09-13,2025-09-13,2006-11-01,25000
2025-09-13,2025-09-13,2006-11-08,31500
2025-09-13,2025-09-13,2006-11-15,35250
2025-09-13,2025-09-13,2006-11-22,43000
2025-09-13,2025-09-13,2006-11-29,33000
2025-09-13,2025-09-13,2006-12-06,32000
2025-09-13,2025-09-13,2006-12-13,21250
2025-09-13,2025-09-13,2006-12-20,33500
2025-09-13,2025-09-13,2006-12-27,36000
2025-09-13,2025-09-13,2007-01-03,39750
2025-09-13,2025-09-13,2007-01-10,21500
2025-09-13,2025-09-13,2007-01-17,19750
2025-09-13,2025-09-13,2007-01-24,19000
2025-09-13,2025-09-13,2007-01-31,32000
2025-09-13,2025-09-13,2007-02-07,19750
2025-09-13,2025-09-13,2007-02-14,30000
2025-09-13,2025-09-13,2007-02-21,34000
2025-09-13,2025-09-13,2007-02-28,45250
2025-09-13,2025-09-13,2007-03-07,31250
